2019-04-07 23:56:58.777052|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.5.0 (2018-10-26 06:48:07)
2019-04-07 23:56:58.777163|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.9.0-6-amd64 #1 SMP Debian 4.9.88-1+deb9u1 (2018-05-07) x86_64 Binary: 64bit
2019-04-07 23:56:58.777183|INFO    |ServerLibPriv |   |Using hardware aes
2019-04-07 23:56:58.780245|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-04-07 23:56:58.780291|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-04-07 23:56:58.782694|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-04-07 23:56:58.806027|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-04-07 23:56:58.807863|INFO    |Accounting    |   |Licensing Information
2019-04-07 23:56:58.807886|INFO    |Accounting    |   |licensed to       : Anonymous
2019-04-07 23:56:58.807902|INFO    |Accounting    |   |type              : No License
2019-04-07 23:56:58.807924|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2019-04-07 23:56:58.807939|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2019-04-07 23:56:58.807952|INFO    |Accounting    |   |max virtualservers: 1
2019-04-07 23:56:58.807967|INFO    |Accounting    |   |max slots         : 32
2019-04-07 23:56:58.975134|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-04-07 23:57:00.003214|INFO    |              |   |Puzzle precompute time: 1177
2019-04-07 23:57:00.004543|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-04-07 23:57:00.021916|INFO    |Query         |   |listening for query on 0.0.0.0:9987, [::]:9987
2019-04-07 23:57:00.022173|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-04-08 23:56:59.067240|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-04-09 23:56:59.234141|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-04-10 23:56:59.339974|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-04-11 23:56:59.441163|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-04-12 23:56:59.596853|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-04-13 23:56:59.686684|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
