2019-04-14 15:54:39.444544|INFO    |VirtualServerBase|1  |channel 'Air Element'(id:13) created as sub channel of 'placeholder barracks'(id:4) by 'J. Downs'(id:2)
2019-04-14 15:54:44.905058|INFO    |VirtualServerBase|1  |channel 'Air Element'(id:13) edited by 'J. Downs'(id:2)
2019-04-14 15:55:13.676523|INFO    |VirtualServerBase|1  |channel 'Air Commander - [2ndLt] A. Black'(id:14) created as sub channel of 'Air Element'(id:13) by 'J. Downs'(id:2)
2019-04-14 15:55:22.982141|INFO    |VirtualServerBase|1  |channel 'Air Commander - [2ndLt] A. Black'(id:14) edited by 'J. Downs'(id:2)
2019-04-14 15:55:43.481555|INFO    |VirtualServerBase|1  |channel 'Hangar'(id:15) created as sub channel of 'Air Element'(id:13) by 'J. Downs'(id:2)
2019-04-14 15:56:04.244579|INFO    |VirtualServerBase|1  |channel 'Barracks'(id:12) edited by 'J. Downs'(id:2)
2019-04-14 15:59:19.801477|INFO    |VirtualServerBase|1  |server was edited by 'J. Downs'(id:2)
2019-04-14 16:02:37.491590|INFO    |VirtualServerBase|1  |channel 'Operations Server'(id:16) created as sub channel of 'placeholder server channels'(id:3) by 'J. Downs'(id:2)
2019-04-14 16:02:56.192878|INFO    |VirtualServerBase|1  |channel 'Public Server'(id:17) created as sub channel of 'placeholder server channels'(id:3) by 'J. Downs'(id:2)
2019-04-14 16:03:00.651033|INFO    |VirtualServerBase|1  |channel 'Operations Server'(id:16) edited by 'J. Downs'(id:2)
2019-04-14 16:06:37.585137|INFO    |VirtualServerBase|1  |channel 'Operations Server'(id:16) edited by 'J. Downs'(id:2)
2019-04-14 16:06:43.934023|INFO    |VirtualServerBase|1  |channel 'Public Server'(id:17) edited by 'J. Downs'(id:2)
2019-04-14 16:07:31.047566|INFO    |VirtualServerBase|1  |channel 'Public Voice Channel'(id:18) created as sub channel of 'placeholder public'(id:2) by 'J. Downs'(id:2)
