2019-04-04 15:16:03.361940|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.5.0 (2018-10-26 06:48:07)
2019-04-04 15:16:03.362022|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.9.0-6-amd64 #1 SMP Debian 4.9.88-1+deb9u1 (2018-05-07) x86_64 Binary: 64bit
2019-04-04 15:16:03.362047|INFO    |ServerLibPriv |   |Using hardware aes
2019-04-04 15:16:03.362614|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-04-04 15:16:03.362636|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-04-04 15:16:03.362800|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-04-04 15:16:03.370109|INFO    |SQL           |   |db_CreateTables() tables created
2019-04-04 15:16:03.394870|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-04-04 15:16:03.395099|INFO    |Accounting    |   |Licensing Information
2019-04-04 15:16:03.395121|INFO    |Accounting    |   |licensed to       : Anonymous
2019-04-04 15:16:03.395132|INFO    |Accounting    |   |type              : No License
2019-04-04 15:16:03.395148|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2019-04-04 15:16:03.395160|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2019-04-04 15:16:03.395176|INFO    |Accounting    |   |max virtualservers: 1
2019-04-04 15:16:03.395192|INFO    |Accounting    |   |max slots         : 32
2019-04-04 15:16:03.755131|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-04-04 15:16:04.997424|INFO    |              |   |Puzzle precompute time: 1587
2019-04-04 15:16:05.036715|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-04-04 15:16:05.037246|INFO    |VirtualSvrMgr |   |executing monthly interval
2019-04-04 15:16:05.037337|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2019-04-04 15:16:05.054957|INFO    |Query         |   |listening for query on 0.0.0.0:9987, [::]:9987
2019-04-04 15:16:05.055067|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
